Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
SMSM.JK,Selamat Sempurna Tbk.,Stock,Indonesia,Consumer Cyclical,Auto Parts,5. Non Primer
SNLK.JK,Sunter Lakeside Hotel Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
SPTO.JK,Surya Pertiwi Tbk.,Stock,Indonesia,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5. Non Primer
SONA.JK,Sona Topas Tourism Industry Tb,Stock,Indonesia,Consumer Cyclical,Travel Services,5. Non Primer
SOTS.JK,Satria Mega Kencana Tbk.,Stock,Indonesia,Consumer Cyclical,Lodging,5. Non Primer
PTSP.JK,Pioneerindo Gourmet Internatio,Stock,Indonesia,Consumer Cyclical,Restaurants,5. Non Primer
SPRE.JK,Soraya Berjaya Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5. Non Primer
SSTM.JK,Sunson Textile Manufacture Tbk,Stock,Indonesia,Consumer Cyclical,Textile Manufacturing,5. Non Primer
SWAT.JK,Sriwahana Adityakarta Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
TALF.JK,Tunas Alfin Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
TFCO.JK,Tifico Fiber Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Textile Manufacturing,5. Non Primer
TOOL.JK,Rohartindo Nusantara Luas Tbk.,Stock,Indonesia,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5. Non Primer
TOYS.JK,Sunindo Adipersada Tbk.,Stock,Indonesia,Consumer Cyclical,Leisure,5. Non Primer
TRIS.JK,Trisula International Tbk.,Stock,Indonesia,Consumer Cyclical,Apparel Manufacturing,5. Non Primer
TRST.JK,Trias Sentosa Tbk.,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
TYRE.JK,King Tire Indonesia Tbk.,Stock,Indonesia,Consumer Cyclical,Auto Parts,5. Non Primer
UANG.JK,Pakuan Tbk.,Stock,Indonesia,Consumer Cyclical,Leisure,5. Non Primer
UFOE.JK,Damai Sejahtera Abadi Tbk.,Stock,Indonesia,Consumer Cyclical,Department Stores,5. Non Primer
UNTD.JK,Terang Dunia Internusa Tbk.,Stock,Indonesia,Consumer Cyclical,Auto Manufacturers,5. Non Primer
VKTR.JK,VKTR Teknologi Mobilitas Tbk.,Stock,Indonesia,Consumer Cyclical,Recreational Vehicles,5. Non Primer
WOOD.JK,Integra Indocabinet Tbk.,Stock,Indonesia,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5. Non Primer
YELO.JK,Yelooo Integra Datanet Tbk.,Stock,Indonesia,Consumer Cyclical,Travel Services,5. Non Primer
YPAS.JK,Yanaprima Hastapersada Tbk,Stock,Indonesia,Consumer Cyclical,Packaging & Containers,5. Non Primer
ZATA.JK,Bersama Zatta Jaya Tbk.,Stock,Indonesia,Consumer Cyclical,Apparel Retail,5. Non Primer
ZONE.JK,Mega Perintis Tbk.,Stock,Indonesia,Consumer Cyclical,Apparel Retail,5. Non Primer
