Ticker,Nama,Type,Region,Sector Yahoo,Industry Yahoo,Sektor IHSG
TAPG.JK,Triputra Agro Persada Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
TAYS.JK,Jaya Swarasa Agung Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
TBLA.JK,Tunas Baru Lampung Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
TCID.JK,Mandom Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Household & Personal Products,4. Konsumen Primer
TGKA.JK,Tigaraksa Satria Tbk.,Stock,Indonesia,Consumer Defensive,Food Distribution,4. Konsumen Primer
TGUK.JK,Platinum Wahab Nusantara Tbk.,Stock,Indonesia,Consumer Defensive,Food Distribution,4. Konsumen Primer
TLDN.JK,Teladan Prima Agro Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
TRGU.JK,Cerestar Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
UCID.JK,Uni-Charm Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Household & Personal Products,4. Konsumen Primer
UDNG.JK,Agro Bahari Nusantara Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
ULTJ.JK,Ultrajaya Milk Industry & Trad,Stock,Indonesia,Consumer Defensive,Beverages - Non-Alcoholic,4. Konsumen Primer
UNSP.JK,Bakrie Sumatera Plantations Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
UNVR.JK,Unilever Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Household & Personal Products,4. Konsumen Primer
VICI.JK,Victoria Care Indonesia Tbk.,Stock,Indonesia,Consumer Defensive,Household & Personal Products,4. Konsumen Primer
WAPO.JK,Wahana Pronatural Tbk.,Stock,Indonesia,Consumer Defensive,Packaged Foods,4. Konsumen Primer
WICO.JK,Wicaksana Overseas International Tbk.,Stock,Indonesia,Consumer Defensive,Food Distribution,4. Konsumen Primer
WIIM.JK,Wismilak Inti Makmur Tbk.,Stock,Indonesia,Consumer Defensive,Tobacco,4. Konsumen Primer
WINE.JK,Hatten Bali Tbk.,Stock,Indonesia,Consumer Defensive,Beverages - Wineries & Distilleries,4. Konsumen Primer
WMUU.JK,Widodo Makmur Unggas Tbk.,Stock,Indonesia,Consumer Defensive,Farm Products,4. Konsumen Primer
