Ticker,Nama,Type,Region
EAST.JK,Eastparc Hotel Tbk.,Stock,Indonesia
ECII.JK,Electronic City Indonesia Tbk.,Stock,Indonesia
EDGE.JK,Indointernet Tbk.,Stock,Indonesia
EKAD.JK,Ekadharma International Tbk.,Stock,Indonesia
ELIT.JK,Data Sinergitama Jaya Tbk.,Stock,Indonesia
ELPI.JK,Pelayaran Nasional Ekalya Purn,Stock,Indonesia
ELSA.JK,Elnusa Tbk.,Stock,Indonesia
ELTY.JK,Bakrieland Development Tbk.,Stock,Indonesia
EMDE.JK,Megapolitan Developments Tbk.,Stock,Indonesia
EMTK.JK,Elang Mahkota Teknologi Tbk.,Stock,Indonesia
ENAK.JK,Champ Resto Indonesia Tbk.,Stock,Indonesia
ENRG.JK,Energi Mega Persada Tbk.,Stock,Indonesia
ENVY.JK,Envy Technologies Indonesia Tb,Stock,Indonesia
ENZO.JK,Morenzo Abadi Perkasa Tbk.,Stock,Indonesia
EPAC.JK,Megalestari Epack Sentosaraya,Stock,Indonesia
EPMT.JK,Enseval Putera Megatrading Tbk,Stock,Indonesia
ERAA.JK,Erajaya Swasembada Tbk.,Stock,Indonesia
ERAL.JK,Sinar Eka Selaras Tbk.,Stock,Indonesia
ERTX.JK,Eratex Djaja Tbk.,Stock,Indonesia
ESIP.JK,Sinergi Inti Plastindo Tbk.,Stock,Indonesia
ESSA.JK,ESSA Industries Indonesia Tbk.,Stock,Indonesia
ESTA.JK,Esta Multi Usaha Tbk.,Stock,Indonesia
ESTI.JK,Ever Shine Tex Tbk.,Stock,Indonesia
ETWA.JK,Eterindo Wahanatama Tbk,Stock,Indonesia
EURO.JK,Estee Gold Feet Tbk.,Stock,Indonesia
EXCL.JK,XL Axiata Tbk.,Stock,Indonesia
FAPA.JK,FAP Agri Tbk.,Stock,Indonesia
FAST.JK,Fast Food Indonesia Tbk.,Stock,Indonesia
FASW.JK,Fajar Surya Wisesa Tbk.,Stock,Indonesia
FILM.JK,MD Entertainment Tbk.,Stock,Indonesia
FIMP.JK,Fimperkasa Utama Tbk.,Stock,Indonesia
FIRE.JK,Alfa Energi Investama Tbk.,Stock,Indonesia
FISH.JK,FKS Multi Agro Tbk.,Stock,Indonesia
FITT.JK,Hotel Fitra International Tbk.,Stock,Indonesia
FLMC.JK,Falmaco Nonwoven Industri Tbk.,Stock,Indonesia
FMII.JK,Fortune Mate Indonesia Tbk,Stock,Indonesia
FOLK.JK,Multi Garam Utama Tbk.,Stock,Indonesia
FOOD.JK,Sentra Food Indonesia Tbk.,Stock,Indonesia
FORU.JK,Fortune Indonesia Tbk,Stock,Indonesia
FORZ.JK,Forza Land Indonesia Tbk.,Stock,Indonesia
FPNI.JK,Lotte Chemical Titan Tbk.,Stock,Indonesia
FREN.JK,Smartfren Telecom Tbk.,Stock,Indonesia
FUJI.JK,Fuji Finance Indonesia Tbk.,Stock,Indonesia
FUTR.JK,Lini Imaji Kreasi Ekosistem Tb,Stock,Indonesia
FWCT.JK,Wijaya Cahaya Timber Tbk.,Stock,Indonesia
GAMA.JK,Aksara Global Development Tbk.,Stock,Indonesia
GDST.JK,Gunawan Dianjaya Steel Tbk.,Stock,Indonesia
GDYR.JK,Goodyear Indonesia Tbk.,Stock,Indonesia
GEMA.JK,Gema Grahasarana Tbk.,Stock,Indonesia
